Time Series,Component,AIC
TS1,Trend,4660.38002
TS1,Season,4498.52667
TS1,Noise,1990.323750848188
TS1,Noise-freg,6346.0170560699435
TS2,Trend,7156.78525
TS2,Season,7063.84528
TS2,Noise,3306.163910485453
TS2,Noise-freg,6719.990804571073
TS3,Trend,4687.13939
TS3,Season,4541.64308
TS3,Noise,1928.421518104652
TS3,Noise-freg,6468.822009906655
TS4,Trend,4822.35551
TS4,Season,4541.71397
TS4,Noise,2539.31469584782
TS4,Noise-freg,6539.443535103626
TS5,Trend,4799.98914
TS5,Season,4640.45174
TS5,Noise,2116.6466095941682
TS5,Noise-freg,6311.336271162401
TS6,Trend,6115.43936
TS6,Season,6042.98210
TS6,Noise,1844.7230397966916
TS6,Noise-freg,6388.6987777338845
TS7,Trend,4685.24073
TS7,Season,4680.76303
TS7,Noise,2184.1736969902086
TS7,Noise-freg,5904.397610667259
TS8,Trend,4730.76427
TS8,Season,4482.12785
TS8,Noise,2694.5787142003774
TS8,Noise-freg,5656.40148920269
TS9,Trend,5165.34837
TS9,Season,4780.71457
TS9,Noise,4257.190586749129
TS9,Noise-freg,6989.006842354711
TS10,Trend,9740.88557
TS10,Season,5755.56683
TS10,Noise,9732.403228708366
TS10,Noise-freg,10308.61277483138
TS11,Trend,12020.70064
TS11,Season,9185.37486
TS11,Noise,12215.570897149097
TS11,Noise-freg,11991.933707795879
TS12,Trend,4655.41866
TS12,Season,4497.62076
TS12,Noise,2030.315348921736
TS12,Noise-freg,6493.618358247139
TS13,Trend,4646.99162
TS13,Season,4487.29408
TS13,Noise,2031.8371603925182
TS13,Noise-freg,6466.778712292176
TS14,Trend,5953.47737
TS14,Season,4434.89972
TS14,Noise,5309.591975796723
TS14,Noise-freg,8421.151403500819
TS15,Trend,8451.66015
TS15,Season,4567.80231
TS15,Noise,8356.318172863066
TS15,Noise-freg,10112.276431607908
TS16,Trend,6292.95064
TS16,Season,5098.57142
TS16,Noise,5921.322121875718
TS16,Noise-freg,8567.415249757667
TS17,Trend,8060.77121
TS17,Season,6739.72623
TS17,Noise,7816.867022997647
TS17,Noise-freg,9689.107462407179
TS18,Trend,4681.98734
TS18,Season,4540.32440
TS18,Noise,2125.2482152535727
TS18,Noise-freg,5729.202465096387
TS19,Trend,4734.17114
TS19,Season,4613.91152
TS19,Noise,2700.8695035779097
TS19,Noise-freg,5436.000445181922
TS20,Trend,5329.11813
TS20,Season,4624.44905
TS20,Noise,4738.5232564421685
TS20,Noise-freg,7390.43945256131
TS21,Trend,6453.65304
TS21,Season,6011.91332
TS21,Noise,6656.903042496346
TS21,Noise-freg,8418.998801387359
