Time Series,Component,BIC
TS1,Trend,9449.36209
TS1,Season,9404.44323
TS1,Noise,2619.0563142068513
TS1,Noise-freg,5890.38678227133
TS2,Trend,9860.38528
TS2,Season,9777.74511
TS2,Noise,6196.5093321434915
TS2,Noise-freg,8422.784528263086
TS3,Trend,9804.35660
TS3,Season,9758.30317
TS3,Noise,3023.9201367104274
TS3,Noise-freg,6063.538932009692
TS4,Trend,9954.38415
TS4,Season,9830.54737
TS4,Noise,6489.4312828889115
TS4,Noise-freg,8492.9575229445
TS5,Trend,9775.36908
TS5,Season,9708.06399
TS5,Noise,5323.9374423042555
TS5,Noise-freg,7847.193931316399
TS6,Trend,9813.06045
TS6,Season,9645.04006
TS6,Noise,5730.500589493279
TS6,Noise-freg,8568.30271859728
TS7,Trend,9029.13401
TS7,Season,9118.99870
TS7,Noise,3065.3886067082003
TS7,Noise-freg,6735.503592332951
