Time Series,Season,IMFs,Metric,alpha,W init,fs,tau,tol
TS1,s2,0 - 1,BIC,1000,5001,0,1,1e-06
TS1,s2,0 - 2,BIC,500,10001,0,3,1e-06
TS1,s2,0 - 3,BIC,20000,1001,0,0,1e-06
TS1,s2,0 - 4,BIC,5000,1001,0,0,1e-06
TS1,s2,0 - 5,BIC,0,False,0,0,1e-06
TS2,s11,0 - 1,BIC,20000,10001,0,0,1e-06
TS2,s11,0 - 2,BIC,0,False,0,0,1e-06
TS2,s11,0 - 3,BIC,0,False,0,0,1e-06
TS2,s11,0 - 4,BIC,0,False,0,0,1e-06
TS2,s11,0 - 5,BIC,0,False,0,0,1e-06
TS3,s2,0 - 1,BIC,20000,5001,0,0,1e-06
TS3,s2,0 - 2,BIC,0,False,0,0,1e-06
TS3,s2,0 - 3,BIC,0,False,0,0,1e-06
TS3,s2,0 - 4,BIC,0,False,0,0,1e-06
TS3,s2,0 - 5,BIC,0,False,0,0,1e-06
TS4,s12,0 - 1,BIC,20000,1,0,0,1e-06
TS4,s12,0 - 2,BIC,0,False,0,0,1e-06
TS4,s12,0 - 3,BIC,0,False,0,0,1e-06
TS4,s12,0 - 4,BIC,0,False,0,0,1e-06
TS4,s12,0 - 5,BIC,0,False,0,0,1e-06
