Time Series,IMFs,Metric,alpha,W init,fs,tau,tol
TS1,0 - 1,BIC,20000,10001,0,0,1e-06
TS1,0 - 2,BIC,0,False,0,0,1e-06
TS1,0 - 3,BIC,0,False,0,0,1e-06
TS1,0 - 4,BIC,0,False,0,0,1e-06
TS1,0 - 5,BIC,0,False,0,0,1e-06
TS2,0 - 1,BIC,5000,501,0,0,1e-06
TS2,0 - 2,BIC,10000,1001,0,0,1e-06
TS2,0 - 3,BIC,5000,1001,0,0,1e-06
TS2,0 - 4,BIC,20000,10001,0,0,1e-06
TS2,0 - 5,BIC,0,False,0,0,1e-06
TS3,0 - 1,BIC,20000,10001,0,0,1e-06
TS3,0 - 2,BIC,0,False,0,0,1e-06
TS3,0 - 3,BIC,0,False,0,0,1e-06
TS3,0 - 4,BIC,0,False,0,0,1e-06
TS3,0 - 5,BIC,0,False,0,0,1e-06
TS4,0 - 1,BIC,5000,501,0,0,1e-06
TS4,0 - 2,BIC,5000,1001,0,0,1e-06
TS4,0 - 3,BIC,1000,5001,0,0,1e-06
TS4,0 - 4,BIC,20000,10001,0,0,1e-06
TS4,0 - 5,BIC,0,False,0,0,1e-06
